X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766316.4;6284555.86;0.23;0.18;14;1840;66.6;46.8
766316.46;6284552.45;0.28;0.14;26;2240;47;62.8
766316.49;6284550.01;0.14;0.13;26;1120;53.9;53.2
766316.63;6284546.93;0.18;0.09;31;1440;54.4;53.2
766316.74;6284543.78;0.14;0.08;23;1120;58;49.2
766316.85;6284541.12;0.2;0.12;25;1600;52.6;55.6
766316.93;6284538.69;0.16;0.18;27;1280;54.5;54
766317;6284535.61;0.11;0.26;16;880;56.5;52.4
766316.94;6284532.37;0.12;0.15;26;960;44.8;61.2
766312.05;6284531.16;0.22;0.08;16;1760;55.4;53.2
766311.9;6284534.48;0.17;0.22;30;1360;47.2;61.2
766311.85;6284536.71;0.23;0.09;22;1840;60.1;50
766311.79;6284539.72;0.18;0.24;32;1440;53.2;56.4
766311.71;6284542.71;0.22;0.09;38;1760;61.9;48.4
766311.68;6284545.09;0.22;0.07;34;1760;68.6;43.6
766311.61;6284548.22;0.16;0.11;20;1280;62.6;46.8
766311.53;6284550.86;0.19;0.23;28;1520;51.5;58
766311.44;6284554.17;0.18;0.08;26;1440;56.2;51.6
766311.36;6284557.27;0.15;0.09;25;1200;53.5;53.2
766311.33;6284560.06;0.16;0.07;27;1280;52.5;54
766311.24;6284563.18;0.15;0.07;22;1200;54.1;52.4
766311.11;6284566.15;0.15;0.06;27;1200;49.2;56.4
766311.04;6284568.91;0.18;0.07;25;1440;55;52.4
766310.98;6284571.81;0.2;0.06;28;1600;53.4;54
766310.92;6284574.54;0.15;0.1;17;1200;55.6;51.6
766310.84;6284577.94;0.17;0.07;17;1360;45.6;60.4
766310.79;6284580.58;0.21;0.12;25;1680;47.5;60.4
766310.72;6284583.52;0.14;0.08;22;1120;52.1;54
766310.63;6284586.7;0.15;0.06;29;1200;49.2;56.4
766310.53;6284589.2;0.17;0.11;22;1360;57.5;50.8
766310.42;6284592.76;0.23;0.06;31;1840;51.5;56.4
766310.41;6284595.07;0.17;0.07;28;1360;58.8;49.2
766310.31;6284598.11;0.19;0.1;27;1520;56.9;51.6
766310.22;6284601;0.16;0.09;28;1280;54.8;52.4
766310.14;6284604.04;0.16;0.12;25;1280;56.3;51.6
766310.03;6284606.73;0.22;0.08;26;1760;54.4;54
766309.9;6284610.04;0.16;0.07;23;1280;53.4;53.2
766309.83;6284612.66;0.18;0.09;19;1440;51.5;55.6
766309.79;6284615.3;0.22;0.07;26;1760;48.6;58.8
766309.76;6284618.44;0.16;0.08;6;1280;53.6;53.2
766309.67;6284620.76;0.19;0.22;21;1520;39.8;69.2
766309.59;6284623.94;0.18;0.08;31;1440;49.5;57.2
