X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766756.47;6284751.94;0.39;0.1;47;3120;41.4;58.4
766759.37;6284750.48;0.24;0.25;40;1920;35.4;64
766761.06;6284749.64;0.49;0.08;32;3920;33.1;70.4
766764.58;6284747.72;0.52;0.19;22;4160;29.2;78.4
766767.42;6284746.08;0.42;0.17;49;3360;44.7;56.8
766656.36;6284841.69;0.47;0.19;24;3760;29.5;76.8
766659.01;6284840.38;0.23;0.23;32;1840;30.3;70.4
766660.74;6284839.47;0.48;0.08;36;3840;35.4;67.2
766664.45;6284837.44;0.52;0.23;16;4160;26.6;83.2
766666.66;6284836.28;0.38;0.55;25;3040;32.3;76
766669.45;6284834.94;0.52;0.17;23;4160;29.5;77.6
766671.87;6284833.58;0.36;0.27;30;2880;31.8;72
766674.11;6284832.41;0.53;0.17;19;4240;27.6;80.8
766678.12;6284830.26;0.56;0.15;4;4480;22;92.8
766679.46;6284829.65;0.45;0.31;10;3600;23.6;88
766682.54;6284827.93;0.55;0.21;19;4400;28.3;80.8
766685.37;6284826.44;0.79;0.14;-17;6320;21.5;109.6
766687.2;6284825.41;0.59;0.24;23;4720;31.4;77.6
766691.26;6284823.23;0.6;0.25;11;4800;25.9;87.2
766694.51;6284821.61;0.35;0.2;37;2800;35;66.4
766696.03;6284820.72;0.55;0.17;32;4400;35.3;70.4
766699.86;6284818.75;0.29;0.21;20;2320;25;80
766700.64;6284818.47;0.52;0.05;23;4160;28.3;77.6
766704.77;6284816.22;0.49;0.04;38;3920;36.4;65.6
766707.01;6284815.02;0.26;0.42;24;2080;28.4;76.8
766709.71;6284813.63;0.51;0.27;28;4080;33.3;73.6
766711.6;6284812.67;0.23;0.66;26;1840;31.5;75.2
766714.09;6284811.47;0.47;0.11;37;3760;36.2;66.4
766718.29;6284809.16;0.51;0.15;33;4080;34.9;69.6
766719.59;6284808.48;0.33;0.47;26;2640;31.1;75.2
766723.1;6284806.77;0.53;0.14;15;4240;25.4;84
766726.28;6284804.92;0.49;0.18;43;3920;41.8;61.6
766728.92;6284803.63;0.26;0.18;28;2080;28.1;73.6
766731.2;6284802.44;0.47;0.17;34;3760;35;68.8
